Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
magnolia-reset-planner,The Magnolia Reset: 90-Day Healing Planner,"<p>Transform your healing journey with this comprehensive 90-day planner designed for trauma survivors and those seeking deep personal transformation. Created with trauma-informed principles and rooted in ancestral wisdom.</p>

<h3>✨ Features:</h3>
<ul>
<li>90 days of guided healing prompts</li>
<li>Moon phase tracking and rituals</li>
<li>Energy level monitoring</li>
<li>Boundary setting worksheets</li>
<li>Gratitude and manifestation pages</li>
<li>Progress celebration trackers</li>
<li>Crisis resource directory</li>
<li>Gentle accountability system</li>
</ul>

<h3>📦 What's Included:</h3>
<ul>
<li>180-page digital planner (PDF)</li>
<li>Printer-friendly version (black & white)</li>
<li>Interactive fillable PDF option</li>
<li>Bonus: 7-day quick start guide</li>
<li>Access to private community group</li>
</ul>

<p><strong>Perfect for:</strong> Trauma survivors, healing practitioners, therapy clients, anyone on a transformation journey</p>

<p><em>This is a digital download. You will receive download links immediately after purchase.</em></p>",Midnight Magnolia,Health & Beauty,Digital Planner,"healing, trauma recovery, planner, digital download, self-care, bestseller",TRUE,Format,Digital Download,,,,,MM-RESET-001-DIGITAL,0,shopify,999999,continue,manual,27.00,35.00,FALSE,FALSE,,,1,The Magnolia Reset Healing Planner Cover,FALSE,The Magnolia Reset: 90-Day Healing Planner - Transform Your Journey,Transform your healing journey with this trauma-informed 90-day planner. Includes moon tracking and gentle accountability.,Health & Beauty > Personal Care,Unisex,Adult,MM-RESET-001,Healing Planners,trauma recovery healing journal,new,FALSE,Healing,Digital,Bestseller,Self-Care,Trauma-Informed,,kg,,5.00,active
magnolia-reset-planner,The Magnolia Reset: 90-Day Healing Planner,,,,,,,Format,Physical Book,,,,,MM-RESET-001-PHYSICAL,544,shopify,50,continue,manual,47.00,55.00,TRUE,TRUE,,,2,The Magnolia Reset Physical Book,FALSE,,,,,,,,,,,,,,,,,,kg,,12.00,active
sacred-productivity-planner,Sacred Productivity Planner,"<p>A revolutionary approach to productivity that honors your energy, celebrates rest, and creates sustainable systems for achieving your dreams without burnout.</p>

<h3>🌙 Sacred Features:</h3>
<ul>
<li>Energy-based planning system</li>
<li>Sacred work rituals</li>
<li>Boundary setting for entrepreneurs</li>
<li>Moon cycle business planning</li>
<li>Seasonal goal adjustment guides</li>
<li>Rest and restoration tracking</li>
<li>Gentle accountability practices</li>
<li>Success celebration pages</li>
</ul>

<h3>💫 Perfect For:</h3>
<ul>
<li>Spiritual entrepreneurs</li>
<li>Sensitive and empathic business owners</li>
<li>Anyone seeking work-life balance</li>
<li>Those recovering from burnout</li>
<li>Creative professionals</li>
</ul>

<p><strong>Bonus Materials:</strong> Moon phase business guide, energy tracking sheets, boundary setting templates</p>

<p><em>Digital download with immediate access after purchase.</em></p>",Midnight Magnolia,Business & Industrial,Digital Planner,"productivity, planning, gentle systems, work-life balance, entrepreneur, moon cycle",TRUE,Format,Digital Download,,,,,MM-PROD-001-DIGITAL,0,shopify,999999,continue,manual,22.00,30.00,FALSE,FALSE,,,1,Sacred Productivity Planner Cover,FALSE,Sacred Productivity Planner - Gentle Business Planning,Revolutionary productivity approach that honors your energy and creates sustainable systems without burnout.,Business & Industrial > Business Operations,Unisex,Adult,MM-PROD-001,Productivity Planners,gentle productivity sacred business,new,FALSE,Entrepreneurship,Digital,Planning,Productivity,Gentle,,kg,,8.00,active
sacred-productivity-planner,Sacred Productivity Planner,,,,,,,Format,Physical Book,,,,,MM-PROD-001-PHYSICAL,544,shopify,30,continue,manual,42.00,50.00,TRUE,TRUE,,,2,Sacred Productivity Physical Book,FALSE,,,,,,,,,,,,,,,,,,kg,,15.00,active
midnight-messages-oracle-journal,Midnight Messages Oracle Journal,"<p>Deepen your connection to intuitive wisdom with this guided journal for oracle card practice and spiritual reflection.</p>

<h3>🔮 Features:</h3>
<ul>
<li>Daily card draw tracking pages</li>
<li>Monthly spread layouts</li>
<li>Intuition development exercises</li>
<li>Dream journal integration</li>
<li>Sacred symbolism guides</li>
<li>Seasonal spreads and rituals</li>
<li>Card meaning reference sheets</li>
<li>Progress tracking for psychic development</li>
</ul>

<h3>🌟 What You'll Develop:</h3>
<ul>
<li>Stronger intuitive abilities</li>
<li>Deeper oracle card readings</li>
<li>Dream interpretation skills</li>
<li>Symbolic thinking</li>
<li>Spiritual self-awareness</li>
</ul>

<p><strong>Compatible with any oracle or tarot deck</strong></p>

<p><em>120-page digital journal with fillable PDF options.</em></p>",Midnight Magnolia,Arts & Entertainment,Digital Journal,"oracle cards, divination, journal, intuition, spiritual guidance, tarot",TRUE,Format,Digital Download,,,,,MM-ORACLE-001-DIGITAL,0,shopify,999999,continue,manual,19.00,25.00,FALSE,FALSE,,,1,Midnight Messages Oracle Journal Cover,FALSE,Midnight Messages Oracle Journal - Develop Your Intuition,Guided journal for oracle card practice and spiritual reflection. Develop stronger intuitive abilities.,Arts & Entertainment > Hobbies & Creative Arts,Unisex,Adult,MM-ORACLE-001,Oracle Journals,oracle cards divination journal,new,FALSE,Spirituality,Digital,Journal,Divination,Oracle,,kg,,5.00,active
midnight-messages-oracle-journal,Midnight Messages Oracle Journal,,,,,,,Format,Physical Book,,,,,MM-ORACLE-001-PHYSICAL,400,shopify,25,continue,manual,39.00,45.00,TRUE,TRUE,,,2,Midnight Messages Physical Journal,FALSE,,,,,,,,,,,,,,,,,,kg,,12.00,active
midnight-magnolia-tarot-deck,Midnight Magnolia Tarot Deck,"<p>A stunning 78-card tarot deck that weaves Southern Gothic imagery with traditional tarot wisdom. Perfect for beginners and experienced readers alike.</p>

<h3>🌙 Deck Features:</h3>
<ul>
<li>78 full-color cards with gilded edges</li>
<li>Luxury magnetic closure box</li>
<li>120-page comprehensive guidebook</li>
<li>Card meaning quick reference sheet</li>
<li>Sacred cotton storage bag</li>
<li>Sustainable, FSC-certified materials</li>
</ul>

<h3>🎨 Artwork:</h3>
<p>Original illustrations featuring magnolia flowers, Spanish moss, wrought iron gates, and mystical Southern landscapes. Each card tells a story rooted in Southern Gothic tradition while honoring classic tarot symbolism.</p>

<h3>📖 Guidebook Includes:</h3>
<ul>
<li>Complete card meanings</li>
<li>Beginner-friendly reading techniques</li>
<li>Southern-inspired tarot spreads</li>
<li>Moon phase reading guidance</li>
<li>Care and blessing instructions</li>
</ul>

<p><strong>Perfect for:</strong> Tarot beginners, Southern Gothic enthusiasts, collectors, spiritual practitioners</p>",Midnight Magnolia,Arts & Entertainment,Tarot Deck,"tarot, divination, gothic, Southern Gothic, beginner friendly, bestseller, spiritual",TRUE,Edition,Standard Edition,,,,,MM-TAROT-001-STD,363,shopify,100,continue,manual,65.00,75.00,TRUE,TRUE,,,1,Midnight Magnolia Tarot Deck Box,FALSE,Midnight Magnolia Tarot Deck - Southern Gothic Wisdom,Stunning 78-card tarot deck with Southern Gothic imagery. Includes comprehensive guidebook and luxury box.,Arts & Entertainment > Hobbies & Creative Arts > Fortune Telling,Unisex,Adult,MM-TAROT-001,Tarot Decks,tarot southern gothic divination,new,FALSE,Spirituality,Physical,Bestseller,Tarot,Gothic,,kg,,22.00,active
sacred-seasons-oracle-cards,Sacred Seasons Oracle Cards,"<p>Connect with the wisdom of the seasons through this 44-card oracle deck celebrating the natural cycles of earth and spirit.</p>

<h3>🌿 Deck Features:</h3>
<ul>
<li>44 cards representing seasonal energies</li>
<li>Eco-friendly packaging (recycled materials)</li>
<li>Companion digital app with audio guidance</li>
<li>Seasonal ritual suggestions</li>
<li>Moon phase integration guide</li>
</ul>

<h3>🍂 Seasonal Wisdom:</h3>
<ul>
<li><strong>Spring:</strong> Growth, renewal, new beginnings</li>
<li><strong>Summer:</strong> Abundance, manifestation, vitality</li>
<li><strong>Autumn:</strong> Harvest, gratitude, release</li>
<li><strong>Winter:</strong> Rest, reflection, inner wisdom</li>
</ul>

<h3>📱 Digital Companion:</h3>
<p>Free companion app includes audio guidance for each card, seasonal rituals, and integration with moon phases for enhanced readings.</p>

<p><strong>Sustainably made</strong> with recycled materials and carbon-neutral shipping.</p>",Midnight Magnolia,Arts & Entertainment,Oracle Cards,"oracle cards, seasons, nature wisdom, eco-friendly, spiritual, divination",TRUE,Edition,Standard Edition,,,,,MM-SEASONS-001-STD,272,shopify,75,continue,manual,45.00,55.00,TRUE,TRUE,,,1,Sacred Seasons Oracle Cards Box,FALSE,Sacred Seasons Oracle Cards - Nature's Wisdom,44-card oracle deck celebrating seasonal cycles. Includes eco-friendly packaging and digital companion app.,Arts & Entertainment > Hobbies & Creative Arts > Fortune Telling,Unisex,Adult,MM-SEASONS-001,Oracle Decks,oracle cards seasons nature wisdom,new,FALSE,Spirituality,Physical,Oracle,Eco-Friendly,Seasonal,,kg,,18.00,active
magnolia-moonlight-candle-collection,Magnolia Moonlight Candle Collection,"<p>Hand-poured soy candles infused with essential oils and intention for moon phase rituals and sacred space creation.</p>

<h3>🕯️ Set Includes:</h3>
<ul>
<li><strong>New Moon:</strong> Black currant & sage (new beginnings)</li>
<li><strong>Full Moon:</strong> Magnolia & vanilla (manifestation)</li>
<li><strong>Waning Moon:</strong> Lavender & chamomile (release)</li>
</ul>

<h3>✨ Features:</h3>
<ul>
<li>40-hour burn time each candle</li>
<li>Lead-free cotton wicks</li>
<li>Reusable glass containers</li>
<li>Intention-setting cards included</li>
<li>Carbon-neutral shipping</li>
<li>Hand-poured with love and intention</li>
</ul>

<h3>🌙 Perfect For:</h3>
<ul>
<li>Moon phase rituals</li>
<li>Meditation and prayer</li>
<li>Sacred space creation</li>
<li>Aromatherapy and relaxation</li>
<li>Spiritual gifts</li>
</ul>

<p><strong>Made with:</strong> 100% natural soy wax, premium essential oils, lead-free wicks, and lots of love.</p>",Midnight Magnolia,Home & Garden,Candle Set,"candles, aromatherapy, home decor, ritual, moon phases, essential oils, soy wax",TRUE,Option,3-Candle Set,,,,,MM-CANDLE-SET-001,1134,shopify,50,continue,manual,125.00,150.00,TRUE,TRUE,,,1,Magnolia Moonlight Candle Collection,FALSE,Magnolia Moonlight Candle Collection - Moon Phase Ritual Candles,Hand-poured soy candles for moon phase rituals. Set of 3 with essential oils and intention cards.,Home & Garden > Decor > Candles & Candle Warmers,Unisex,Adult,MM-CANDLE-SET-001,Ritual Candles,moon phase candles ritual aromatherapy,new,FALSE,Healing,Physical,Ritual,Aromatherapy,Moon-Phase,,kg,,35.00,active
magnolia-moonlight-candle-new-moon,New Moon Candle,"<p>Hand-poured soy candle infused with black currant and sage essential oils, perfect for new moon rituals and new beginning ceremonies.</p>

<h3>🌑 New Moon Energy:</h3>
<ul>
<li>Setting intentions</li>
<li>New beginnings</li>
<li>Planting seeds of manifestation</li>
<li>Fresh starts and clean slates</li>
</ul>

<h3>🕯️ Features:</h3>
<ul>
<li>40-hour burn time</li>
<li>Black currant & sage scent</li>
<li>Lead-free cotton wick</li>
<li>Reusable glass container</li>
<li>Intention-setting card included</li>
</ul>",Midnight Magnolia,Home & Garden,Candle,"candle, new moon, ritual, black currant, sage, intention setting",TRUE,Size,Standard,,,,,MM-CANDLE-NEW-001,378,shopify,100,continue,manual,45.00,55.00,TRUE,TRUE,,,1,New Moon Ritual Candle,FALSE,New Moon Ritual Candle - Black Currant & Sage,Hand-poured soy candle for new moon rituals. Black currant and sage scent for new beginnings.,Home & Garden > Decor > Candles & Candle Warmers,Unisex,Adult,MM-CANDLE-NEW-001,Individual Candles,new moon ritual candle sage,new,FALSE,Ritual,Physical,Candle,New-Moon,Intention,,kg,,15.00,active
crystal-altar-starter-set,Crystal Altar Starter Set,"<p>Everything you need to create a sacred altar space in your home, carefully curated for beginners and experienced practitioners.</p>

<h3>💎 Set Includes:</h3>
<ul>
<li>Clear Quartz point (amplification)</li>
<li>Amethyst cluster (spiritual connection)</li>
<li>Rose Quartz heart (love & healing)</li>
<li>Black Tourmaline (protection)</li>
<li>Selenite wand (cleansing)</li>
<li>Sacred geometry altar cloth (12""x12"")</li>
<li>Digital altar blessing guide</li>
<li>Crystal care instructions</li>
</ul>

<h3>✨ Perfect For:</h3>
<ul>
<li>Creating your first altar</li>
<li>Meditation spaces</li>
<li>Energy healing practices</li>
<li>Sacred space creation</li>
<li>Spiritual gifts</li>
</ul>

<h3>📖 Bonus Materials:</h3>
<ul>
<li>Digital altar blessing ceremony guide</li>
<li>Crystal properties reference sheet</li>
<li>Moon phase cleansing calendar</li>
<li>Sacred space arrangement tips</li>
</ul>

<p><strong>All crystals are ethically sourced and energetically cleansed before shipping.</strong></p>",Midnight Magnolia,Home & Garden,Crystal Set,"crystals, altar, sacred space, home decor, spiritual, healing, meditation",TRUE,Size,Starter Set,,,,,MM-ALTAR-001,1451,shopify,25,continue,manual,125.00,155.00,TRUE,TRUE,,,1,Crystal Altar Starter Set,FALSE,Crystal Altar Starter Set - Create Your Sacred Space,Complete altar set with ethically sourced crystals and sacred geometry cloth. Perfect for beginners.,Home & Garden > Decor > Decorative Objects,Unisex,Adult,MM-ALTAR-001,Crystal Sets,crystal altar set sacred space,new,FALSE,Spirituality,Physical,Crystals,Altar,Sacred-Space,,kg,,45.00,active
moon-phase-necklace,Moon Phase Necklace,"<p>Elegant sterling silver necklace featuring the complete lunar cycle with genuine moonstone accent.</p>

<h3>🌙 Features:</h3>
<ul>
<li>Sterling silver chain (adjustable 16""-20"")</li>
<li>Genuine rainbow moonstone</li>
<li>Moon phase pendant (1"" diameter)</li>
<li>Gift box included</li>
<li>Tarnish-resistant coating</li>
<li>Hypoallergenic materials</li>
</ul>

<h3>✨ Moonstone Properties:</h3>
<ul>
<li>Enhances intuition and psychic abilities</li>
<li>Promotes emotional balance</li>
<li>Connects you to lunar energy</li>
<li>Supports new beginnings</li>
<li>Aids in manifestation work</li>
</ul>

<h3>💝 Perfect Gift For:</h3>
<ul>
<li>Moon lovers and lunar practitioners</li>
<li>Spiritual jewelry enthusiasts</li>
<li>Meditation practitioners</li>
<li>Birthdays and special occasions</li>
<li>Self-love and empowerment</li>
</ul>

<p><strong>Handcrafted with love and intention.</strong> Each piece is unique due to natural stone variations.</p>",Midnight Magnolia,Apparel & Accessories,Necklace,"jewelry, moon phases, sterling silver, spiritual jewelry, moonstone, lunar, necklace",TRUE,Metal,Sterling Silver,Stone,Rainbow Moonstone,,,MM-NECK-001,45,shopify,50,continue,manual,85.00,105.00,TRUE,TRUE,,,1,Moon Phase Sterling Silver Necklace,FALSE,Moon Phase Necklace - Sterling Silver with Moonstone,Elegant sterling silver necklace featuring lunar cycle and genuine moonstone. Adjustable chain included.,Apparel & Accessories > Jewelry > Necklaces,Unisex,Adult,MM-NECK-001,Spiritual Jewelry,moon phase necklace sterling silver,new,FALSE,Spirituality,Physical,Jewelry,Moon-Phase,Moonstone,,kg,,25.00,active
protection-bracelet-set,Protection Bracelet Set,"<p>Set of three complementary bracelets featuring protective crystals and sacred symbols.</p>

<h3>🛡️ Set Includes:</h3>
<ul>
<li><strong>Black Tourmaline Bracelet</strong> - Grounding and protection from negative energy</li>
<li><strong>Hematite Bracelet</strong> - Strength, courage, and energetic shielding</li>
<li><strong>Tiger's Eye Bracelet</strong> - Personal power, confidence, and mental clarity</li>
</ul>

<h3>✨ Benefits:</h3>
<ul>
<li>Creates a protective energy field</li>
<li>Grounds and centers your energy</li>
<li>Boosts confidence and courage</li>
<li>Supports mental clarity</li>
<li>Beautiful and meaningful</li>
</ul>

<h3>📦 Included:</h3>
<ul>
<li>3 gemstone bracelets (stretch fit)</li>
<li>Crystal charging instructions</li>
<li>Moon phase charging calendar</li>
<li>Properties reference card</li>
<li>Beautiful gift box</li>
</ul>

<p><strong>Size:</strong> One size fits most (6.5""-7.5"" wrist). Made with genuine gemstones and durable stretch cord.</p>",Midnight Magnolia,Apparel & Accessories,Bracelet Set,"bracelets, protection, crystals, jewelry set, black tourmaline, hematite, tigers eye",TRUE,Set,3-Bracelet Set,,,,,MM-BRAC-001,91,shopify,75,continue,manual,45.00,60.00,TRUE,TRUE,,,1,Protection Crystal Bracelet Set,FALSE,Protection Bracelet Set - Black Tourmaline Hematite Tigers Eye,Set of 3 protective crystal bracelets. Includes charging instructions and gift box.,Apparel & Accessories > Jewelry > Bracelets,Unisex,Adult,MM-BRAC-001,Crystal Bracelets,protection bracelet set crystals,new,FALSE,Healing,Physical,Jewelry,Protection,Crystal-Set,,kg,,18.00,active
pet-blessing-ritual-kit,Pet Blessing Ritual Kit,"<p>Sacred blessing kit to create spiritual protection and wellness for your beloved animal companions.</p>

<h3>🐾 Kit Includes:</h3>
<ul>
<li>Crystal-infused collar charm (adjustable)</li>
<li>Pet-safe blessing spray (2 oz)</li>
<li>Digital pet blessing ceremony guide</li>
<li>Animal communication meditation</li>
<li>Pet chakra balancing guide</li>
<li>Emergency pet care crystal guide</li>
</ul>

<h3>✨ Benefits for Your Pet:</h3>
<ul>
<li>Energetic protection and grounding</li>
<li>Reduced anxiety and stress</li>
<li>Enhanced bond with guardian</li>
<li>Spiritual wellness support</li>
<li>Healing energy amplification</li>
</ul>

<h3>🌿 Pet-Safe Ingredients:</h3>
<p>All products are made with pet-safe, non-toxic ingredients. The blessing spray contains purified water, pet-safe essential oils, and crystal-infused energy.</p>

<h3>📖 Digital Guides Include:</h3>
<ul>
<li>Complete pet blessing ceremony</li>
<li>Daily protection prayers</li>
<li>Animal communication techniques</li>
<li>Pet chakra system explanation</li>
<li>Crystal safety for pets</li>
</ul>

<p><strong>Suitable for all pets:</strong> Dogs, cats, birds, rabbits, and other animal companions.</p>",Midnight Magnolia,Animals & Pet Supplies,Pet Blessing Kit,"pets, blessing ritual, spiritual pet care, pet accessories, crystal, protection, animal",TRUE,Size,Universal,,,,,MM-PET-001,227,shopify,40,continue,manual,35.00,45.00,TRUE,TRUE,,,1,Pet Blessing Ritual Kit,FALSE,Pet Blessing Ritual Kit - Spiritual Protection for Pets,Sacred blessing kit for animal companions. Includes crystal charm and pet-safe blessing spray.,Animals & Pet Supplies > Pet Supplies > Dog Supplies,Unisex,Adult,MM-PET-001,Pet Spiritual Care,pet blessing ritual kit spiritual,new,FALSE,Healing,Physical,Pet-Care,Blessing,Animal,,kg,,12.00,active